[INFO ][2017-05-26 14:31:49,439][AbstractApplicationContext:578] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@77556fd: startup date [Fri May 26 14:31:49 CST 2017]; root of context hierarchy
[INFO ][2017-05-26 14:31:49,489][XmlBeanDefinitionReader:317] Loading XML bean definitions from class path resource [config/songmim-application.xml]
[INFO ][2017-05-26 14:31:50,257][WsIMServer:67] SongmIM server Ws start: 127.0.0.1:17182
[INFO ][2017-05-26 14:31:50,257][HttpServer:72] SongmIM httpd start: 127.0.0.1:17183
[INFO ][2017-05-26 14:31:50,257][TcpIMServer:67] SongmIM server TCP start: 127.0.0.1:17181
[INFO ][2017-05-26 14:31:50,333][Slf4JLogger:101] [id: 0x8f4e9ede] REGISTERED
[INFO ][2017-05-26 14:31:50,333][Slf4JLogger:101] [id: 0x28c52807] REGISTERED
[INFO ][2017-05-26 14:31:50,333][Slf4JLogger:101] [id: 0x6125b2b8] REGISTERED
[INFO ][2017-05-26 14:31:50,335][Slf4JLogger:101] [id: 0x6125b2b8] BIND: /127.0.0.1:17183
[INFO ][2017-05-26 14:31:50,335][Slf4JLogger:101] [id: 0x8f4e9ede] BIND: /127.0.0.1:17181
[INFO ][2017-05-26 14:31:50,335][Slf4JLogger:101] [id: 0x28c52807] BIND: /127.0.0.1:17182
[INFO ][2017-05-26 14:31:50,340][Slf4JLogger:101] [id: 0x28c52807, /127.0.0.1:17182] ACTIVE
[INFO ][2017-05-26 14:31:50,340][Slf4JLogger:101] [id: 0x6125b2b8, /127.0.0.1:17183] ACTIVE
[INFO ][2017-05-26 14:31:50,340][Slf4JLogger:101] [id: 0x8f4e9ede, /127.0.0.1:17181] ACTIVE
[INFO ][2017-05-26 14:32:49,939][SessionServiceImpl:80] [StartNumber: 0, EndNumber: 0] SessionTimeoutCheck
[INFO ][2017-05-26 14:33:16,421][Slf4JLogger:101] [id: 0x6125b2b8, /127.0.0.1:17183] RECEIVED: [id: 0x305ce8b6, /127.0.0.1:65244 => /127.0.0.1:17183]
[INFO ][2017-05-26 14:33:16,706][Slf4JLogger:101] [id: 0x6125b2b8, /127.0.0.1:17183] RECEIVED: [id: 0x2716b250, /127.0.0.1:65245 => /127.0.0.1:17183]
[INFO ][2017-05-26 14:33:16,757][Slf4JLogger:101] [id: 0x6125b2b8, /127.0.0.1:17183] RECEIVED: [id: 0x92b3d884, /127.0.0.1:65246 => /127.0.0.1:17183]
[INFO ][2017-05-26 14:33:31,659][Slf4JLogger:101] [id: 0x28c52807, /127.0.0.1:17182] RECEIVED: [id: 0x2341f9fa, /127.0.0.1:65291 => /127.0.0.1:17182]
[INFO ][2017-05-26 14:33:49,945][SessionServiceImpl:80] [StartNumber: 1, EndNumber: 1] SessionTimeoutCheck
[INFO ][2017-05-26 14:34:49,949][SessionServiceImpl:80] [StartNumber: 1, EndNumber: 1] SessionTimeoutCheck
[INFO ][2017-05-26 14:35:49,952][SessionServiceImpl:80] [StartNumber: 1, EndNumber: 1] SessionTimeoutCheck
[INFO ][2017-05-26 14:36:50,570][SessionServiceImpl:80] [StartNumber: 1, EndNumber: 1] SessionTimeoutCheck
[INFO ][2017-05-26 14:37:03,841][Slf4JLogger:101] [id: 0x28c52807, /127.0.0.1:17182] RECEIVED: [id: 0x5b5be66f, /127.0.0.1:49771 => /127.0.0.1:17182]
[INFO ][2017-05-26 14:37:50,575][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:38:50,582][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:39:50,587][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:40:50,593][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:41:50,596][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:42:50,599][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:43:50,605][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:44:50,612][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:45:50,617][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:46:50,620][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:47:50,627][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:48:50,633][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:49:50,640][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:50:50,645][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:51:50,651][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:52:50,657][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:53:50,662][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:54:50,667][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:55:50,673][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:56:50,680][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:57:50,685][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:58:50,689][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 14:59:50,695][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:00:50,700][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:01:50,707][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:02:50,712][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:03:50,717][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:04:50,724][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:05:50,730][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:06:50,735][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:07:50,742][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:08:50,746][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:09:50,752][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:10:50,757][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:11:50,760][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:12:50,766][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:13:50,773][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:14:50,777][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:15:50,783][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:16:50,789][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:17:50,794][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:18:50,796][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:19:50,800][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:20:50,805][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:21:50,811][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:22:50,815][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:23:50,822][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:24:50,829][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:25:50,832][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:26:50,837][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:27:50,843][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:28:50,850][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:29:50,856][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:30:50,863][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:31:50,867][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:32:50,873][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:33:50,881][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:34:50,884][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:35:50,890][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:36:50,897][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:37:50,900][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:38:50,905][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:39:50,911][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:40:50,916][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:41:50,923][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:42:50,930][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:43:50,933][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:44:50,939][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:45:50,945][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:46:50,949][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
[INFO ][2017-05-26 15:47:50,951][SessionServiceImpl:80] [StartNumber: 2, EndNumber: 2] SessionTimeoutCheck
